word,familarity,cn_meaning,meaning
divulge,F,泄漏,v. to make known (something private or secret)
inadvertent ,F,粗心的，不留意的不故意的,adj. marked by or resulting from carelessness; negligent
panegyric,F,赞文；赞美,n. a formal eulogistic composition intended as a public compliment
draconian ,F,极其严苛的,adj. exceedingly harsh or very severe
hodgepodge ,F,混杂，混合物,n. a mixture of different things
incontrovertible ,F,不容置疑的,adj. impossible to dispute
impartial ,T,公正的，不偏不倚的,adj. not partial or biased
endemic,F,地方性的，流行的,"adj. prevalent in or limited to a particular locality, region, or people"
minuscule ,F,微小的,adj. very small and tiny
lucrative,F,盈利的，赚钱的,adj. producing wealth
compensate,T,弥补,"v. to offset an error, defect, or undesired effect"
discursive,F,杂乱无章的,adj. moving from topic to topic without order; rambling
presuppose,T,预先假设,v. to suppose beforehand
intermediary,F,（作为）中间人（的）,n. acting as a mediator
derogate,F,贬低,v. to cause to seem inferior
overbearing,F,专横傲慢的,adj. often trying to control the behavior of other people in an annoying or unwanted way
zealous,T,对（某人或偶像）狂热的,"adj. marked by fervent partisanship for a person, a cause, or an ideal"
extraneous,F,不重要的，不相关的,adj. not important
rehash,F,（没有实质改变地）重提,v. to bring forth again in another form without significant alteration
perfunctory,F,不走心的，敷衍草率的,"adj. acting with indifference, showing little interest or care"
compound,T,混合，合成,v. to form by combining seperate things
envy,T,嫉妒,v. to feel a desire to have what someone else does
defensive,T,被动防守的，防御的,adj. in a situation which you are forced to defend or protect someone or something
unbounded,T,不受限制的,adj. not limited in any way
specious,F,似是而非的,adj. falsely appearing to be right
aimless,T,漫无目的的,adj. not having a goal or purpose
ingenuous,F,纯朴的，真诚的 ,"adj. having or showing the innocence, trust, and honesty that young people often have"
intrinsic,T,核心的，内在的,adj. belonging to the essential nature of a thing
inevitable,T,不可避免的，一定发生的,adj. sure to happen
intransigent,F,不妥协的，固执的,adj. completely unwilling to change
detached,F,不受感情影响的， 公正的,adj. not influenced by emotions or personal interest
inveterate,F,根深蒂固的,adj. firmly and long established; deep-rooted
backhanded,F,不直接的,adj. oblique or indirect
affable,F,和蔼可亲的,adj. easy and pleasant to speak to
whimsy,F,突发奇想,"n. an unusual, unexpected, or fanciful idea"
tenacious,F,坚定的,adj. very determined to do something
sardonic,F,嘲讽的，讥笑的,adj. scornfully or cynically mocking
skullduggery,F,欺骗，作假,adj. secret or dishonest behavior or activity
legitimate,T,合法的,adj. being in compliance with the law
plagiarize,T,抄袭,v. to reproduce or otherwise use as one's own
disavow,F,否认,v. to say that you are not responsible for
deplete,F,耗尽,v. to use most of all of
redicule,F,嘲笑，耻笑,v. to laugh at and make jokes about
undermine,T,削弱,v. to make (someone or something) weaker or less affective
self-serving,T,自私的,adj. having or showing concern only about your own needs and interests
perishable,F,易消亡的，短暂的,adj. likely to spoil or decay quickly
carpricious,F,变化多端的,adj. changing often and quickly
egotism,T,自大,n. an infalted sense of one's own importance
unqualified,T,完全的,adj. complete or total
magisterial,F,权威的,adj. authoritative
chauvinstic,F,极端爱国的,adj. believing that your country is better than any other
sleek,F,光滑的,adj. straight and smooth in design or shape
astringent,F,严厉的，尖刻的,adj. very critical in a sharp and often clever way
ambivalent,F,（情感，态度）矛盾的,"adj. simultaneous and contradictory attitudes or feelings toward an object, person, or action"
ameliorate,F,改善，提升,v. to make better or more tolerable
examplar,F,典型,n. a typical example
grudge,F,不愿给予或承认,v. to be unwillingly to give or admit
sweeping,F,广泛的,adj. extensive
extirpate,F,根除,v. to destroy or remove completely
parity,F,平等,n. equality
utilitarian,F,实用的,adj. made to be useful rather than to be decorative or comfortable
elicit ,F,引起,v. to call forth or draw out
beneficial,T,有益处的,adj. producing good or helpful results or effects
intoxicate,F,使...陶醉,v. to excite or elate to the point of enthusiasm or frenzy
inchoate,F,早期的,adj. being in a beginning or early stage
rebuff,F,（粗鲁的）回复,n. a blunt or abrupt repulse or refusal
construe,F,理解,v. to understand the meaning of
fallacy,T,错误，谬论,n. a false or mistaken idea
increment,T,增长，递增,n. the action or process of increasing especially in quantity or value
deteriorate,T,恶化,v. to make (something) worse
grandiose,F,宏伟壮观的,"adj. impressive because of uncommon largeness, scope, effect, or grandeur"
truncate,F,缩短,v. to make shorter
haphazard,F,无序的，凌乱的,"adj. having no plan, order, or direction"
